puzzle_id,difficulty,algorithm,run_id,seed,success,elapsed_ms,nodes_explored,backtracks,max_depth,iterations,restarts,moves,stopped_reason
14,medium,mrv,0,,True,4.614,43,0,43,0,0,0,solved
14,medium,mrv,1,,True,4.469,43,0,43,0,0,0,solved
14,medium,mrv,2,,True,4.478,43,0,43,0,0,0,solved
15,medium,mrv,0,,True,4.425,43,0,43,0,0,0,solved
15,medium,mrv,1,,True,4.673,43,0,43,0,0,0,solved
15,medium,mrv,2,,True,4.448,43,0,43,0,0,0,solved
16,medium,mrv,0,,True,3.054,43,0,43,0,0,0,solved
16,medium,mrv,1,,True,2.929,43,0,43,0,0,0,solved
16,medium,mrv,2,,True,2.871,43,0,43,0,0,0,solved
17,medium,mrv,0,,True,3.264,43,0,43,0,0,0,solved
17,medium,mrv,1,,True,3.218,43,0,43,0,0,0,solved
17,medium,mrv,2,,True,3.17,43,0,43,0,0,0,solved
18,medium,mrv,0,,True,3.228,43,0,43,0,0,0,solved
18,medium,mrv,1,,True,3.005,43,0,43,0,0,0,solved
18,medium,mrv,2,,True,3.472,43,0,43,0,0,0,solved
19,medium,mrv,0,,True,4.558,43,0,43,0,0,0,solved
19,medium,mrv,1,,True,4.686,43,0,43,0,0,0,solved
19,medium,mrv,2,,True,4.584,43,0,43,0,0,0,solved
20,medium,mrv,0,,True,5.077,43,0,43,0,0,0,solved
20,medium,mrv,1,,True,6.378,43,0,43,0,0,0,solved
20,medium,mrv,2,,True,6.298,43,0,43,0,0,0,solved
21,hard,mrv,0,,True,6.079,49,0,49,0,0,0,solved
21,hard,mrv,1,,True,5.784,49,0,49,0,0,0,solved
21,hard,mrv,2,,True,5.672,49,0,49,0,0,0,solved
22,hard,mrv,0,,True,6.716,54,6,49,0,0,0,solved
22,hard,mrv,1,,True,7.072,54,6,49,0,0,0,solved
22,hard,mrv,2,,True,6.897,54,6,49,0,0,0,solved
23,hard,mrv,0,,True,6.737,49,0,49,0,0,0,solved
23,hard,mrv,1,,True,6.099,49,0,49,0,0,0,solved
23,hard,mrv,2,,True,5.767,49,0,49,0,0,0,solved
24,hard,mrv,0,,True,6.049,49,0,49,0,0,0,solved
24,hard,mrv,1,,True,5.837,49,0,49,0,0,0,solved
24,hard,mrv,2,,True,5.581,49,0,49,0,0,0,solved
25,hard,mrv,0,,True,5.839,49,0,49,0,0,0,solved
25,hard,mrv,1,,True,7.143,49,0,49,0,0,0,solved
25,hard,mrv,2,,True,7.004,49,0,49,0,0,0,solved
26,hard,mrv,0,,True,5.75,49,0,49,0,0,0,solved
26,hard,mrv,1,,True,5.696,49,0,49,0,0,0,solved
26,hard,mrv,2,,True,5.985,49,0,49,0,0,0,solved
27,hard,mrv,0,,True,7.276,56,8,49,0,0,0,solved
27,hard,mrv,1,,True,7.011,56,8,49,0,0,0,solved
27,hard,mrv,2,,True,6.315,56,8,49,0,0,0,solved
28,hard,mrv,0,,True,6.026,49,0,49,0,0,0,solved
28,hard,mrv,1,,True,5.968,49,0,49,0,0,0,solved
28,hard,mrv,2,,True,5.562,49,0,49,0,0,0,solved
29,hard,mrv,0,,True,6.336,49,0,49,0,0,0,solved
29,hard,mrv,1,,True,5.92,49,0,49,0,0,0,solved
29,hard,mrv,2,,True,5.83,49,0,49,0,0,0,solved
30,hard,mrv,0,,True,7.016,60,13,49,0,0,0,solved
